# P0  Pdamp Pset1 Pset2
5638  22153 9000  0
5780  23609 8996  0
6479  34116 8998  0
6737  26579 8999  0
6855  27758 8900  0
6904  28906 8997  0
7645  26338 10000 0
7651  22118 12000 0
7809  34781 9100  0
10690 32890 11000 0
11619 31665 13000 0
11696 26172 14000 0
13686 31027 15000 0
13846 23081 18000 0
14092 31571 16000 0
14982 26323 19000 0
15918 27656 17000 0
17932 27789 20000 0
19349 27510 22000 0
19444 28113 21000 0
21802 27000 25000 0
21927 28125 24000 0
22151 29214 23000 0
23448 27063 26000 0
23465 23952 28000 0
25230 29205 27000 0
27425 28837 30000 0
27431 29594 29000 0
27697 26833 31000 0
30168 27459 33000 0
30507 28038 32000 0
30777 27607 34000 0
30785 26363 35000 0
33641 28851 36000 0
33989 27890 37000 0
34738 27417 38000 0
35839 27891 39000 0
